League,Club,Player,Position,Date of Birth,Age,Market Value
Serie A,Cagliari Calcio,Lucas Castro,Central Midfield,"Apr 9, 1989",30,7000000.0
Serie A,Cagliari Calcio,Paolo Faragò,Central Midfield,"Feb 12, 1993",26,5000000.0
Serie A,Cagliari Calcio,Artur Ionita,Central Midfield,"Aug 17, 1990",28,4000000.0
Serie A,Cagliari Calcio,Alessandro Deiola,Central Midfield,"Aug 1, 1995",23,1200000.0
Serie A,Cagliari Calcio,Simone Padoin,Left Midfield,"Mar 18, 1984",35,500000.0
Serie A,Cagliari Calcio,João Pedro,Attacking Midfield,"Mar 9, 1992",27,8000000.0
Serie A,Cagliari Calcio,Valter Birsa,Attacking Midfield,"Aug 7, 1986",32,3000000.0
Serie A,Cagliari Calcio,Kiril Despodov,Right Winger,"Nov 11, 1996",22,3000000.0
Serie A,Cagliari Calcio,Cyril Théréau,Second Striker,"Apr 24, 1983",35,700000.0
Serie A,Cagliari Calcio,Leonardo Pavoletti,Centre-Forward,"Nov 26, 1988",30,10000000.0
Serie A,Cagliari Calcio,Alberto Cerri,Centre-Forward,"Apr 16, 1996",22,6500000.0
Serie A,Genoa CFC,Andrei Radu,Goalkeeper,"May 28, 1997",21,12000000.0
Serie A,Genoa CFC,Jandrei,Goalkeeper,"Mar 1, 1993",26,2000000.0
Serie A,Genoa CFC,Federico Marchetti,Goalkeeper,"Feb 7, 1983",36,500000.0
Serie A,Genoa CFC,Rok Vodisek,Goalkeeper,"Dec 5, 1998",20,400000.0
Serie A,Genoa CFC,Cristian Romero,Centre-Back,"Apr 27, 1998",20,15000000.0
Serie A,Genoa CFC,Davide Biraschi,Centre-Back,"Jul 2, 1994",24,2500000.0
Serie A,Genoa CFC,Ervin Zukanovic,Centre-Back,"Feb 11, 1987",32,1500000.0
Serie A,Genoa CFC,Koray Günter,Centre-Back,"Aug 16, 1994",24,1000000.0
Serie A,Genoa CFC,Domenico Criscito,Left-Back,"Dec 30, 1986",32,4000000.0
Serie A,Genoa CFC,Giuseppe Pezzella,Left-Back,"Nov 29, 1997",21,3000000.0
Serie A,Genoa CFC,Pedro Pereira,Right-Back,"Jan 22, 1998",21,2000000.0
Serie A,Genoa CFC,Ivan Lakicevic,Right-Back,"Jul 27, 1993",25,500000.0
Serie A,Genoa CFC,Ivan Radovanovic,Defensive Midfield,"Aug 29, 1988",30,3000000.0
Serie A,Genoa CFC,Miguel Veloso,Defensive Midfield,"May 11, 1986",32,2000000.0
Serie A,Genoa CFC,Esteban Rolón,Defensive Midfield,"Mar 25, 1995",24,800000.0
Serie A,Genoa CFC,Stefano Sturaro,Central Midfield,"Mar 9, 1993",26,10000000.0
Serie A,Genoa CFC,Lukas Lerager,Central Midfield,"Jul 12, 1993",25,6000000.0
Serie A,Genoa CFC,Daniel Bessa,Central Midfield,"Jan 14, 1993",26,5000000.0
Serie A,Genoa CFC,Luca Mazzitelli,Central Midfield,"Nov 15, 1995",23,4000000.0
Serie A,Genoa CFC,Oscar Hiljemark,Central Midfield,"Jun 28, 1992",26,3500000.0
Serie A,Genoa CFC,Darko Lazovic,Right Midfield,"Sep 15, 1990",28,2000000.0
Serie A,Genoa CFC,András Schäfer,Left Midfield,"Apr 13, 1999",19,400000.0
Serie A,Genoa CFC,Goran Pandev,Second Striker,"Jul 27, 1983",35,500000.0
Serie A,Genoa CFC,Christian Kouamé,Centre-Forward,"Dec 6, 1997",21,14000000.0
Serie A,Genoa CFC,Antonio Sanabria,Centre-Forward,"Mar 4, 1996",23,10000000.0
Serie A,Genoa CFC,Gianluca Lapadula,Centre-Forward,"Feb 7, 1990",29,6000000.0
Serie A,Genoa CFC,Andrea Favilli,Centre-Forward,"May 17, 1997",21,6000000.0
Serie A,Genoa CFC,Nicola Dalmonte,Centre-Forward,"Sep 13, 1997",21,1000000.0
Serie A,Bologna FC 1909,Lukasz Skorupski,Goalkeeper,"May 5, 1991",27,7000000.0
Serie A,Bologna FC 1909,Angelo da Costa,Goalkeeper,"Nov 12, 1983",35,400000.0
Serie A,Bologna FC 1909,Antonio Santurro,Goalkeeper,"Feb 29, 1992",27,200000.0
Serie A,Bologna FC 1909,Caio Vinicius Pirana,Goalkeeper,"May 8, 1999",19,75000.0
Serie A,Bologna FC 1909,Lyanco,Centre-Back,"Feb 1, 1997",22,3800000.0
Serie A,Bologna FC 1909,Filip Helander,Centre-Back,"Apr 22, 1993",25,2500000.0
Serie A,Bologna FC 1909,Arturo Calabresi,Centre-Back,"Mar 17, 1996",23,2000000.0
Serie A,Bologna FC 1909,Danilo,Centre-Back,"May 10, 1984",34,800000.0
Serie A,Bologna FC 1909,Nehuén Paz,Centre-Back,"Apr 28, 1993",25,500000.0
Serie A,Bologna FC 1909,Mitchell Dijks,Left-Back,"Feb 9, 1993",26,1300000.0
Serie A,Bologna FC 1909,Federico Mattiello,Right-Back,"Jul 14, 1995",23,3000000.0
Serie A,Bologna FC 1909,Ibrahima Mbaye,Right-Back,"Nov 19, 1994",24,3000000.0
Serie A,Bologna FC 1909,Erick Pulgar,Defensive Midfield,"Jan 15, 1994",25,5000000.0
Serie A,Bologna FC 1909,Ádám Nagy,Defensive Midfield,"Jun 17, 1995",23,2500000.0
Serie A,Bologna FC 1909,Godfred Donsah,Central Midfield,"Jun 7, 1996",22,9000000.0
Serie A,Bologna FC 1909,Roberto Soriano,Central Midfield,"Feb 8, 1991",28,7000000.0
Serie A,Bologna FC 1909,Mattias Svanberg,Central Midfield,"Jan 5, 1999",20,4000000.0
Serie A,Bologna FC 1909,Andrea Poli,Central Midfield,"Sep 29, 1989",29,3500000.0
Serie A,Bologna FC 1909,Blerim Dzemaili,Central Midfield,"Apr 12, 1986",33,1500000.0
Serie A,Bologna FC 1909,Juan Manuel Valencia,Attacking Midfield,"Jun 20, 1998",20,400000.0
Serie A,Bologna FC 1909,Nicola Sansone,Left Winger,"Sep 10, 1991",27,7000000.0
Serie A,Bologna FC 1909,Ladislav Krejci,Left Winger,"Jul 5, 1992",26,3500000.0
Serie A,Bologna FC 1909,Riccardo Orsolini,Right Winger,"Jan 24, 1997",22,4000000.0
Serie A,Bologna FC 1909,Simone Edera,Right Winger,"Jan 9, 1997",22,1300000.0
Serie A,Bologna FC 1909,Federico Santander,Centre-Forward,"Jun 4, 1991",27,6000000.0
Serie A,Bologna FC 1909,Mattia Destro,Centre-Forward,"Mar 20, 1991",28,4000000.0
Serie A,Bologna FC 1909,Diego Falcinelli,Centre-Forward,"Jun 26, 1991",27,3500000.0
Serie A,Bologna FC 1909,Rodrigo Palacio,Centre-Forward,"Feb 5, 1982",37,700000.0
Serie A,Parma Calcio 1913,Luigi Sepe,Goalkeeper,"May 8, 1991",27,4000000.0
Serie A,Parma Calcio 1913,Gabriel Brazão,Goalkeeper,"Oct 5, 2000",18,2000000.0
Serie A,Parma Calcio 1913,Pierluigi Frattali,Goalkeeper,"Dec 1, 1985",33,300000.0
Serie A,Parma Calcio 1913,Fabrizio Bagheria,Goalkeeper,"Apr 5, 2001",18,25000.0
Serie A,Parma Calcio 1913,Alessandro Bastoni,Centre-Back,"Apr 13, 1999",19,15000000.0
Serie A,Parma Calcio 1913,Riccardo Gagliolo,Centre-Back,"Apr 28, 1990",28,2500000.0
Serie A,Parma Calcio 1913,Bruno Alves,Centre-Back,"Nov 27, 1981",37,1000000.0
Serie A,Parma Calcio 1913,Francisco Sierralta,Centre-Back,"May 6, 1997",21,300000.0
Serie A,Parma Calcio 1913,Federico Dimarco,Left-Back,"Nov 10, 1997",21,3500000.0
Serie A,Parma Calcio 1913,Massimo Gobbi,Left-Back,"Oct 31, 1980",38,300000.0
Serie A,Parma Calcio 1913,Simone Iacoponi,Right-Back,"Apr 30, 1987",31,800000.0
Serie A,Parma Calcio 1913,Marcello Gazzola,Right-Back,"Apr 3, 1985",34,300000.0
Serie A,Parma Calcio 1913,Leo Stulac,Defensive Midfield,"Sep 26, 1994",24,2500000.0
Serie A,Parma Calcio 1913,Matteo Scozzarella,Defensive Midfield,"Jun 5, 1988",30,600000.0
Serie A,Parma Calcio 1913,Alberto Grassi,Central Midfield,"Mar 7, 1995",24,7000000.0
Serie A,Parma Calcio 1913,Juraj Kucka,Central Midfield,"Feb 26, 1987",32,4000000.0
Serie A,Parma Calcio 1913,José Machín,Central Midfield,"Aug 14, 1996",22,1600000.0
Serie A,Parma Calcio 1913,Jacopo Dezi,Central Midfield,"Feb 10, 1992",27,1500000.0
Serie A,Parma Calcio 1913,Antonino Barillà,Central Midfield,"Apr 1, 1988",31,1000000.0
Serie A,Parma Calcio 1913,Luca Rigoni,Central Midfield,"Dec 7, 1984",34,800000.0
Serie A,Parma Calcio 1913,Abdou Diakhate,Central Midfield,"Dec 31, 1998",20,700000.0
Serie A,Parma Calcio 1913,Gervinho,Left Winger,"May 27, 1987",31,9000000.0
Serie A,Parma Calcio 1913,Nicolás Schiappacasse,Left Winger,"Jan 12, 1999",20,1000000.0
Serie A,Parma Calcio 1913,Jonathan Biabiany,Right Winger,"Apr 28, 1988",30,1700000.0
Serie A,Parma Calcio 1913,Luca Siligardi,Right Winger,"Jan 26, 1988",31,900000.0
Serie A,Parma Calcio 1913,Mattia Sprocati,Right Winger,"Apr 28, 1993",25,900000.0
Serie A,Parma Calcio 1913,Roberto Inglese,Centre-Forward,"Nov 12, 1991",27,15000000.0
Serie A,Parma Calcio 1913,Fabio Ceravolo,Centre-Forward,"Mar 5, 1987",32,1800000.0
Serie A,SPAL,Alfred Gomis,Goalkeeper,"Sep 5, 1993",25,3000000.0
Serie A,SPAL,Emiliano Viviano,Goalkeeper,"Dec 1, 1985",33,1000000.0
Serie A,SPAL,Andrea Fulignati,Goalkeeper,"Oct 31, 1994",24,500000.0
Serie A,SPAL,Giacomo Poluzzi,Goalkeeper,"Feb 25, 1988",31,100000.0
Serie A,SPAL,Kevin Bonifazi,Centre-Back,"May 19, 1996",22,4000000.0
Serie A,SPAL,Francesco Vicari,Centre-Back,"Aug 3, 1994",24,4000000.0
Serie A,SPAL,Vasco Regini,Centre-Back,"Sep 9, 1990",28,1800000.0
Serie A,SPAL,Lorenco Simic,Centre-Back,"Jul 15, 1996",22,1000000.0
Serie A,SPAL,Thiago Cionek,Centre-Back,"Apr 21, 1986",32,800000.0
Serie A,SPAL,Felipe,Centre-Back,"Jul 31, 1984",34,500000.0
Serie A,SPAL,Filippo Costa,Left-Back,"May 21, 1995",23,900000.0
Serie A,SPAL,Lorenzo Dickmann,Right-Back,"Sep 24, 1996",22,1800000.0
Serie A,SPAL,Mirko Valdifiori,Defensive Midfield,"Apr 21, 1986",32,800000.0
Serie A,SPAL,Alessandro Murgia,Central Midfield,"Aug 9, 1996",22,5000000.0
Serie A,SPAL,Jasmin Kurtic,Central Midfield,"Jan 10, 1989",30,5000000.0
Serie A,SPAL,Simone Missiroli,Central Midfield,"May 23, 1986",32,2200000.0
Serie A,SPAL,Pasquale Schiattarella,Central Midfield,"May 30, 1987",31,1200000.0
Serie A,SPAL,Mattia Valoti,Central Midfield,"Sep 6, 1993",25,1000000.0
Serie A,SPAL,Manuel Lazzari,Right Midfield,"Nov 29, 1993",25,15000000.0
Serie A,SPAL,Mohamed Fares,Left Midfield,"Feb 15, 1996",23,4000000.0
Serie A,SPAL,Marko Jankovic,Right Winger,"Jul 9, 1995",23,2250000.0
Serie A,SPAL,Andrea Petagna,Centre-Forward,"Jun 30, 1995",23,10000000.0
Serie A,SPAL,Alberto Paloschi,Centre-Forward,"Jan 4, 1990",29,3000000.0
Serie A,SPAL,Mirco Antenucci,Centre-Forward,"Sep 8, 1984",34,1000000.0
Serie A,SPAL,Sergio Floccari,Centre-Forward,"Nov 12, 1981",37,300000.0
Serie A,FC Empoli,Bartlomiej Dragowski,Goalkeeper,"Aug 19, 1997",21,1500000.0
Serie A,FC Empoli,Ivan Provedel,Goalkeeper,"Mar 17, 1994",25,1200000.0
Serie A,FC Empoli,Filippo Perucchini,Goalkeeper,"Oct 6, 1991",27,350000.0
Serie A,FC Empoli,Jacob Rasmussen,Centre-Back,"May 28, 1997",21,4000000.0
Serie A,FC Empoli,Frédéric Veseli,Centre-Back,"Nov 20, 1992",26,1000000.0
Serie A,FC Empoli,Matías Silvestre,Centre-Back,"Sep 25, 1984",34,1000000.0
Serie A,FC Empoli,Dimitrios Nikolaou,Centre-Back,"Aug 13, 1998",20,800000.0
Serie A,FC Empoli,Domenico Maietta,Centre-Back,"Aug 3, 1982",36,500000.0
Serie A,FC Empoli,Lorenzo Polvani,Centre-Back,"Jul 26, 1994",24,150000.0
Serie A,FC Empoli,Luca Antonelli,Left-Back,"Feb 11, 1987",32,1500000.0
Serie A,FC Empoli,Cristian Dell'Orco,Left-Back,"Feb 10, 1994",25,800000.0
Serie A,FC Empoli,Marko Pajac,Left-Back,"May 11, 1993",25,600000.0
Serie A,FC Empoli,Manuel Pasqual,Left-Back,"Mar 13, 1982",37,500000.0
Serie A,FC Empoli,Giovanni Di Lorenzo,Right-Back,"Aug 4, 1993",25,4000000.0
Serie A,FC Empoli,Kevin Diks,Right-Back,"Oct 6, 1996",22,1400000.0
Serie A,FC Empoli,Ismaël Bennacer,Defensive Midfield,"Dec 1, 1997",21,10000000.0
Serie A,FC Empoli,Leonardo Capezzi,Defensive Midfield,"Mar 29, 1995",24,1000000.0
Serie A,FC Empoli,Hamed Junior Traorè,Central Midfield,"Feb 16, 2000",19,7000000.0
Serie A,FC Empoli,Rade Krunic,Central Midfield,"Oct 7, 1993",25,7000000.0
Serie A,FC Empoli,Afriyie Acquah,Central Midfield,"Jan 5, 1992",27,1800000.0
Serie A,FC Empoli,Marcel Büchel,Central Midfield,"Mar 18, 1991",28,750000.0
Serie A,FC Empoli,Matteo Brighi,Central Midfield,"Feb 14, 1981",38,300000.0
Serie A,FC Empoli,Salih Ucan,Attacking Midfield,"Jan 6, 1994",25,1800000.0
Serie A,FC Empoli,Diego Farias,Second Striker,"May 10, 1990",28,3000000.0
Serie A,FC Empoli,Antonino La Gumina,Centre-Forward,"Mar 6, 1996",23,6000000.0
Serie A,FC Empoli,Francesco Caputo,Centre-Forward,"Aug 6, 1987",31,3500000.0
Serie A,FC Empoli,Dimitri Oberlin,Centre-Forward,"Sep 27, 1997",21,3000000.0
Serie A,FC Empoli,Levan Mchedlidze,Centre-Forward,"Mar 24, 1990",29,500000.0
Serie A,Frosinone Calcio,Marco Sportiello,Goalkeeper,"May 10, 1992",26,5000000.0
Serie A,Frosinone Calcio,Francesco Bardi,Goalkeeper,"Jan 18, 1992",27,1000000.0
Serie A,Frosinone Calcio,Alessandro Iacobucci,Goalkeeper,"Jun 3, 1991",27,400000.0
Serie A,Frosinone Calcio,Edoardo Goldaniga,Centre-Back,"Nov 2, 1993",25,2000000.0
Serie A,Frosinone Calcio,Lorenzo Ariaudo,Centre-Back,"Jun 11, 1989",29,1000000.0
Serie A,Frosinone Calcio,Marco Capuano,Centre-Back,"Oct 14, 1991",27,1000000.0
Serie A,Frosinone Calcio,Luka Krajnc,Centre-Back,"Sep 19, 1994",24,1000000.0
Serie A,Frosinone Calcio,Bartosz Salamon,Centre-Back,"May 1, 1991",27,800000.0
Serie A,Frosinone Calcio,Nicolò Brighenti,Centre-Back,"Aug 1, 1989",29,700000.0
Serie A,Frosinone Calcio,Stefan Simic,Centre-Back,"Jan 20, 1995",24,600000.0
Serie A,Frosinone Calcio,Cristian Molinaro,Left-Back,"Jul 30, 1983",35,300000.0
Serie A,Frosinone Calcio,Francesco Zampano,Right-Back,"Sep 30, 1993",25,1600000.0
Serie A,Frosinone Calcio,Paolo Ghiglione,Right-Back,"Feb 2, 1997",22,1200000.0
Serie A,Frosinone Calcio,Federico Viviani,Defensive Midfield,"Mar 24, 1992",27,3000000.0
Serie A,Frosinone Calcio,Francesco Cassata,Central Midfield,"Jul 16, 1997",21,3500000.0
Serie A,Frosinone Calcio,Mirko Gori,Central Midfield,"Feb 4, 1993",26,1500000.0
Serie A,Frosinone Calcio,Raffaele Maiello,Central Midfield,"Jul 10, 1991",27,1500000.0
Serie A,Frosinone Calcio,Raman Chibsah,Central Midfield,"Mar 10, 1993",26,1500000.0
Serie A,Frosinone Calcio,Luca Valzania,Central Midfield,"Mar 5, 1996",23,1300000.0
Serie A,Frosinone Calcio,Paolo Sammarco,Central Midfield,"Mar 17, 1983",36,200000.0
Serie A,Frosinone Calcio,Andrea Beghetto,Left Midfield,"Oct 11, 1994",24,1000000.0
Serie A,Frosinone Calcio,Camillo Ciano,Right Winger,"Feb 22, 1990",29,2800000.0
Serie A,Frosinone Calcio,Luca Paganini,Right Winger,"Jun 8, 1993",25,1300000.0
Serie A,Frosinone Calcio,Andrea Pinamonti,Centre-Forward,"May 19, 1999",19,7000000.0
Serie A,Frosinone Calcio,Federico Dionisi,Centre-Forward,"Jun 16, 1987",31,1500000.0
Serie A,Frosinone Calcio,Marcello Trotta,Centre-Forward,"Sep 29, 1992",26,1500000.0
Serie A,Frosinone Calcio,Daniel Ciofani,Centre-Forward,"Jul 31, 1985",33,900000.0
Serie A,Chievo Verona,Adrian Semper,Goalkeeper,"Jan 12, 1998",21,800000.0
Serie A,Chievo Verona,Stefano Sorrentino,Goalkeeper,"Mar 28, 1979",40,800000.0
Serie A,Chievo Verona,Andrea Seculin,Goalkeeper,"Jul 14, 1990",28,300000.0
Serie A,Chievo Verona,Mattia Bani,Centre-Back,"Dec 10, 1993",25,2500000.0
Serie A,Chievo Verona,Federico Barba,Centre-Back,"Sep 1, 1993",25,1500000.0
Serie A,Chievo Verona,Luca Rossettini,Centre-Back,"May 9, 1985",33,1000000.0
Serie A,Chievo Verona,Nenad Tomović,Centre-Back,"Aug 30, 1987",31,900000.0
Serie A,Chievo Verona,Marco Andreolli,Centre-Back,"Jun 10, 1986",32,800000.0
Serie A,Chievo Verona,Strahinja Tanasijevic,Centre-Back,"Jun 12, 1997",21,200000.0
Serie A,Chievo Verona,Bostjan Cesar,Centre-Back,"Jul 9, 1982",36,200000.0
Serie A,Chievo Verona,Pawel Jaroszynski,Left-Back,"Oct 2, 1994",24,400000.0
Serie A,Chievo Verona,Fabio Depaoli,Right-Back,"Apr 24, 1997",21,5000000.0
Serie A,Chievo Verona,Ezequiel Schelotto,Right-Back,"May 23, 1989",29,4000000.0
Serie A,Chievo Verona,Nicolas Frey,Right-Back,"Mar 6, 1984",35,100000.0
Serie A,Chievo Verona,Assane Dioussé,Defensive Midfield,"Sep 20, 1997",21,5000000.0
Serie A,Chievo Verona,Perparim Hetemaj,Central Midfield,"Dec 12, 1986",32,1800000.0
Serie A,Chievo Verona,Sofian Kiyine,Central Midfield,"Oct 2, 1997",21,1500000.0
Serie A,Chievo Verona,Nicola Rigoni,Central Midfield,"Nov 12, 1990",28,1000000.0
Serie A,Chievo Verona,Mauro Burruchaga,Central Midfield,"Jun 27, 1998",20,50000.0
Serie A,Chievo Verona,Emanuele Giaccherini,Left Midfield,"May 5, 1985",33,900000.0
Serie A,Chievo Verona,Musa Juwara,Left Winger,"Dec 26, 2001",17,300000.0
Serie A,Chievo Verona,Lucas Piazón,Right Winger,"Jan 20, 1994",25,2500000.0
Serie A,Chievo Verona,Emanuel Vignato,Right Winger,"Aug 24, 2000",18,1000000.0
Serie A,Chievo Verona,Manuel Pucciarelli,Second Striker,"Jun 17, 1991",27,2300000.0
Serie A,Chievo Verona,Mehdi Léris,Second Striker,"May 23, 1998",20,2000000.0
Serie A,Chievo Verona,Riccardo Meggiorini,Second Striker,"Sep 4, 1985",33,600000.0
Serie A,Chievo Verona,Mariusz Stepinski,Centre-Forward,"May 12, 1995",23,4000000.0
Serie A,Chievo Verona,Filip Djordjevic,Centre-Forward,"Sep 28, 1987",31,700000.0
Serie A,Chievo Verona,Sergio Pellissier,Centre-Forward,"Apr 12, 1979",40,200000.0
Serie A,Chievo Verona,Sergej Grubac,Centre-Forward,"May 29, 2000",18,100000.0
Bundesliga,Bayern Munich,Manuel Neuer,Goalkeeper,"Mar 27, 1986",33,22000000.0
Bundesliga,Bayern Munich,Sven Ulreich,Goalkeeper,"Aug 3, 1988",30,4500000.0
Bundesliga,Bayern Munich,Christian Früchtl,Goalkeeper,"Jan 28, 2000",19,500000.0
Bundesliga,Bayern Munich,Ron-Thorben Hoffmann,Goalkeeper,"Apr 4, 1999",20,150000.0
Bundesliga,Bayern Munich,Niklas Süle,Centre-Back,"Sep 3, 1995",23,50000000.0
Bundesliga,Bayern Munich,Mats Hummels,Centre-Back,"Dec 16, 1988",30,40000000.0
Bundesliga,Bayern Munich,Jérôme Boateng,Centre-Back,"Sep 3, 1988",30,30000000.0
Bundesliga,Bayern Munich,David Alaba,Left-Back,"Jun 24, 1992",26,55000000.0
Bundesliga,Bayern Munich,Joshua Kimmich,Right-Back,"Feb 8, 1995",24,60000000.0
Bundesliga,Bayern Munich,Rafinha,Right-Back,"Sep 7, 1985",33,3500000.0
Bundesliga,Bayern Munich,Javi Martínez,Defensive Midfield,"Sep 2, 1988",30,30000000.0
Bundesliga,Bayern Munich,Thiago,Central Midfield,"Apr 11, 1991",28,70000000.0
Bundesliga,Bayern Munich,Leon Goretzka,Central Midfield,"Feb 6, 1995",24,50000000.0
Bundesliga,Bayern Munich,Corentin Tolisso,Central Midfield,"Aug 3, 1994",24,45000000.0
Bundesliga,Bayern Munich,Renato Sanches,Central Midfield,"Aug 18, 1997",21,20000000.0
Bundesliga,Bayern Munich,James Rodríguez,Attacking Midfield,"Jul 12, 1991",27,65000000.0
Bundesliga,Bayern Munich,Meritan Shabani,Attacking Midfield,"Mar 15, 1999",20,350000.0
Bundesliga,Bayern Munich,Kingsley Coman,Left Winger,"Jun 13, 1996",22,50000000.0
Bundesliga,Bayern Munich,Serge Gnabry,Left Winger,"Jul 14, 1995",23,45000000.0
Bundesliga,Bayern Munich,Alphonso Davies,Left Winger,"Nov 2, 2000",18,10000000.0
Bundesliga,Bayern Munich,Franck Ribéry,Left Winger,"Apr 7, 1983",36,4000000.0
Bundesliga,Bayern Munich,Arjen Robben,Right Winger,"Jan 23, 1984",35,5000000.0
Bundesliga,Bayern Munich,Woo-yeong Jeong,Right Winger,"Sep 20, 1999",19,700000.0
Bundesliga,Bayern Munich,Thomas Müller,Second Striker,"Sep 13, 1989",29,40000000.0
Bundesliga,Bayern Munich,Robert Lewandowski,Centre-Forward,"Aug 21, 1988",30,70000000.0
Bundesliga,Borussia Dortmund,Roman Bürki,Goalkeeper,"Nov 14, 1990",28,14000000.0
Bundesliga,Borussia Dortmund,Marwin Hitz,Goalkeeper,"Sep 18, 1987",31,3000000.0
Bundesliga,Borussia Dortmund,Eric Oelschlägel,Goalkeeper,"Sep 20, 1995",23,300000.0
Bundesliga,Borussia Dortmund,Manuel Akanji,Centre-Back,"Jul 19, 1995",23,40000000.0
Bundesliga,Borussia Dortmund,Abdou Diallo,Centre-Back,"May 4, 1996",22,33000000.0
Bundesliga,Borussia Dortmund,Dan-Axel Zagadou,Centre-Back,"Jun 3, 1999",19,30000000.0
Bundesliga,Borussia Dortmund,Leonardo Balerdi,Centre-Back,"Jan 26, 1999",20,15000000.0
Bundesliga,Borussia Dortmund,Ömer Toprak,Centre-Back,"Jul 21, 1989",29,7000000.0
Bundesliga,Borussia Dortmund,Marcel Schmelzer,Left-Back,"Jan 22, 1988",31,5000000.0
Bundesliga,Borussia Dortmund,Achraf Hakimi,Right-Back,"Nov 4, 1998",20,30000000.0
Bundesliga,Borussia Dortmund,Lukasz Piszczek,Right-Back,"Jun 3, 1985",33,4000000.0
Bundesliga,Borussia Dortmund,Axel Witsel,Defensive Midfield,"Jan 12, 1989",30,40000000.0
Bundesliga,Borussia Dortmund,Julian Weigl,Defensive Midfield,"Sep 8, 1995",23,22000000.0
Bundesliga,Borussia Dortmund,Thomas Delaney,Central Midfield,"Sep 3, 1991",27,27000000.0
Bundesliga,Borussia Dortmund,Mahmoud Dahoud,Central Midfield,"Jan 1, 1996",23,18000000.0
Bundesliga,Borussia Dortmund,Marco Reus,Attacking Midfield,"May 31, 1989",29,50000000.0
Bundesliga,Borussia Dortmund,Mario Götze,Attacking Midfield,"Jun 3, 1992",26,18000000.0
Bundesliga,Borussia Dortmund,Sergio Gómez,Attacking Midfield,"Sep 4, 2000",18,3000000.0
Bundesliga,Borussia Dortmund,Raphaël Guerreiro,Left Winger,"Dec 22, 1993",25,20000000.0
Bundesliga,Borussia Dortmund,Jacob Bruun Larsen,Left Winger,"Sep 19, 1998",20,20000000.0
Bundesliga,Borussia Dortmund,Jadon Sancho,Right Winger,"Mar 25, 2000",19,80000000.0
Bundesliga,Borussia Dortmund,Christian Pulisic,Right Winger,"Sep 18, 1998",20,60000000.0
Bundesliga,Borussia Dortmund,Marius Wolf,Right Winger,"May 27, 1995",23,8000000.0
Bundesliga,Borussia Dortmund,Maximilian Philipp,Second Striker,"Mar 1, 1994",25,15000000.0
Bundesliga,Borussia Dortmund,Paco Alcácer,Centre-Forward,"Aug 30, 1993",25,40000000.0
Bundesliga,RB Leipzig,Péter Gulácsi,Goalkeeper,"May 6, 1990",28,10000000.0
Bundesliga,RB Leipzig,Yvon Mvogo,Goalkeeper,"Jun 6, 1994",24,3000000.0
Bundesliga,RB Leipzig,Marius Müller,Goalkeeper,"Jul 12, 1993",25,500000.0
Bundesliga,RB Leipzig,Julian Krahl,Goalkeeper,"Jan 22, 2000",19,200000.0
Bundesliga,RB Leipzig,Dayot Upamecano,Centre-Back,"Oct 27, 1998",20,30000000.0
Bundesliga,RB Leipzig,Ibrahima Konaté,Centre-Back,"May 25, 1999",19,30000000.0
Bundesliga,RB Leipzig,Willi Orban,Centre-Back,"Nov 3, 1992",26,15000000.0
Bundesliga,RB Leipzig,Atinc Nukan,Centre-Back,"Jul 20, 1993",25,600000.0
Bundesliga,RB Leipzig,Marcel Halstenberg,Left-Back,"Sep 27, 1991",27,17000000.0
Bundesliga,RB Leipzig,Marcelo Saracchi,Left-Back,"Apr 23, 1998",20,14000000.0
Bundesliga,RB Leipzig,Lukas Klostermann,Right-Back,"Jun 3, 1996",22,22000000.0
Bundesliga,RB Leipzig,Nordi Mukiele,Right-Back,"Nov 1, 1997",21,14000000.0
Bundesliga,RB Leipzig,Diego Demme,Defensive Midfield,"Nov 21, 1991",27,17000000.0
Bundesliga,RB Leipzig,Stefan Ilsanker,Defensive Midfield,"May 18, 1989",29,4500000.0
Bundesliga,RB Leipzig,Tyler Adams,Defensive Midfield,"Feb 14, 1999",20,4500000.0
Bundesliga,RB Leipzig,Kevin Kampl,Central Midfield,"Oct 9, 1990",28,22000000.0
Bundesliga,RB Leipzig,Amadou Haidara,Central Midfield,"Jan 31, 1998",21,20000000.0
Bundesliga,RB Leipzig,Konrad Laimer,Central Midfield,"May 27, 1997",21,14000000.0
Bundesliga,RB Leipzig,Emile Smith Rowe,Left Midfield,"Jul 28, 2000",18,4000000.0
Bundesliga,RB Leipzig,Emil Forsberg,Left Winger,"Oct 23, 1991",27,25000000.0
Bundesliga,RB Leipzig,Bruma,Left Winger,"Oct 24, 1994",24,12500000.0
Bundesliga,RB Leipzig,Marcel Sabitzer,Right Winger,"Mar 17, 1994",25,25000000.0
Bundesliga,RB Leipzig,Timo Werner,Centre-Forward,"Mar 6, 1996",23,65000000.0
Bundesliga,RB Leipzig,Yussuf Poulsen,Centre-Forward,"Jun 15, 1994",24,30000000.0
Bundesliga,RB Leipzig,Jean-Kévin Augustin,Centre-Forward,"Jun 16, 1997",21,20000000.0
Bundesliga,RB Leipzig,Matheus Cunha,Centre-Forward,"May 27, 1999",19,12500000.0
Bundesliga,Bayer 04 Leverkusen,Lukas Hradecky,Goalkeeper,"Nov 24, 1989",29,10000000.0
Bundesliga,Bayer 04 Leverkusen,Ramazan Özcan,Goalkeeper,"Jun 28, 1984",34,400000.0
